ID1,ID2,Distance
gb_MT322421_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_VA_DCLS_0043_2020_Segment_null_Host_Human,NC_045512_2_3UTR,1.10793e-16
gb_MT322421_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_VA_DCLS_0043_2020_Segment_null_Host_Human,gb_OU217943_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU217943_Segment_null_Host_Human,1.10793e-16
gb_MT322421_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_VA_DCLS_0043_2020_Segment_null_Host_Human,gb_OE996470_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_hCoV_19_Switzerland_BL_ETHZ_490528_2021_Segment_null_Host_Human,1.10793e-16
gb_MT461629_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_WA_UW_4317_2020_Segment_null_Host_Human,NC_045512_2_3UTR,0
gb_MT680222_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_VA_DCLS_0390_2020_Segment_null_Host_Human,gb_OU217943_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU217943_Segment_null_Host_Human,0
gb_MT811337_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_SEARCH_0722_SAN_2020_Segment_null_Host_Human,gb_OD920492_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OD920492_Segment_null_Host_Human,1.10434e-16
gb_MW155500_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_AUS_VIC9837_2020_Segment_null_Host_Human,gb_OU038496_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU038496_Segment_null_Host_Human,0
gb_MW155500_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_AUS_VIC9837_2020_Segment_null_Host_Human,gb_MZ293904_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_MI_CDC_ASC210064062_2021_Segment_null_Host_Human,0
gb_MZ245515_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_TX_CDC_4061518_001_2020_Segment_null_Host_Human,gb_MZ434161_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_CO_CDC_MMB08700497_2021_Segment_null_Host_Human,0
gb_OD917275_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_1_Segment_null_Host_Human,gb_OU192475_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU192475_Segment_null_Host_Human,0
gb_FR996856_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_FR996856_Segment_null_Host_Human,gb_OU087832_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU087832_Segment_null_Host_Human,0
gb_LR899037_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_1_Segment_null_Host_Human,gb_MZ075487_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_NJ_CDC_ASC210048203_2021_Segment_null_Host_Human,0
gb_MT834054_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_WA_S1855_2020_Segment_null_Host_Human,gb_OU423245_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU423245_Segment_null_Host_Human,0
gb_OL756139_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_MI_MDHHS_SC20945_2020_Segment_null_Host_Human,gb_OU234069_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU234069_Segment_null_Host_Human,0
gb_OU807618_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU807618_Segment_null_Host_Human,gb_OU396925_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU396925_Segment_null_Host_Human,0
gb_MW332939_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_WI_UW_1823_2020_Segment_null_Host_Human,gb_OU206084_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU206084_Segment_null_Host_Human,0
gb_OA998081_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OA998081_Segment_null_Host_Human,gb_OU323242_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU323242_Segment_null_Host_Human,0
gb_OA998081_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OA998081_Segment_null_Host_Human,gb_OU026626_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU026626_Segment_null_Host_Human,0
gb_OB984339_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OB984339_Segment_null_Host_Human,gb_OU227489_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU227489_Segment_null_Host_Human,0
gb_OA989941_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OA989941_Segment_null_Host_Human,gb_OU261597_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU261597_Segment_null_Host_Human,0
gb_OB995632_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OB995632_Segment_null_Host_Human,gb_OU038496_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU038496_Segment_null_Host_Human,0
gb_OB995632_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OB995632_Segment_null_Host_Human,gb_MZ293904_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_MI_CDC_ASC210064062_2021_Segment_null_Host_Human,0
gb_ON279574_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_FRA_IHUCOVID_036774_Nova1_2020_Segment_null_Host_Human,gb_MZ255666_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_AZ_CDC_ASC210016050_2021_Segment_null_Host_Human,0
gb_OA965272_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OA965272_Segment_null_Host_Human,gb_MZ228550_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_MN_CDC_STM_000065669_2021_Segment_null_Host_Human,0
gb_MZ010029_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_CA_CDC__IBX222127246001_2020_Segment_null_Host_Human,gb_OU575810_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_hCoV_19_Switzerland_VD_CHUV_GEN3190_2021_Segment_null_Host_Human,0
gb_OM316344_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_42506_2020_Segment_null_Host_Human,gb_ON008285_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_MNG_3002951693_2021_Segment_null_Host_Human,0
gb_OM316344_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_42506_2020_Segment_null_Host_Human,gb_OU190830_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_hCoV_19_Switzerland_BL_ETHZ_600846_2021_Segment_null_Host_Human,0
gb_ON282686_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_FRA_IHUCOVID_015392__Nova1A_2020_Segment_null_Host_Human,gb_MW877315_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_FL_CDC_STM_000033460_2021_Segment_null_Host_Human,0
gb_MT482146_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_VA_DCLS_0166_2020_Segment_null_Host_Human,gb_OU217943_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OU217943_Segment_null_Host_Human,0
gb_MZ448871_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_NYI_695_20_2_2020_Segment_null_Host_Human,gb_MZ375841_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_HUMAN_USA_IL_NHRC_OID_843046_2021_Segment_null_Host_Human,1.09908e-16
gb_OA968302_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OA968302_Segment_null_Host_Human,gb_MZ083004_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_SARS_CoV_2_human_USA_MI_CDC_ASC210046856_2021_Segment_null_Host_Human,0
gb_OA968302_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_UNKNOWN_OA968302_Segment_null_Host_Human,gb_OU285621_Organism_Severe_acute_respiratory_syndrome_coronavirus_2_Strain_Name_hCoV_19_Switzerland_VS_ICH_2210520336_2021_Segment_null_Host_Human,0
